Taxon,Group,Taxon_Higher,Global_total,Type,Name,Bioregions_version,Colour,Data_sources,Occurrence_database,Accessed
Ferns,Vascular plants,,11885,Checklist,ferns,Bioregions_checklists_noPalawan,#00441B,WCVP / POWO,GBIF,
Flowering plants,Vascular plants,,338538,Checklist,angiosperms,Bioregions_checklists_noPalawan,#006D2C,WCVP / POWO,GBIF,
Gymnosperms,Vascular plants,,946,Checklist,gymnosperms,Bioregions_checklists_noPalawan,#859438,WCVP / POWO,GBIF,
Lycophytes,Vascular plants,,1438,Checklist,lycophytes,Bioregions_checklists_noPalawan,#AADC32FF,WCVP / POWO,GBIF,
Amphibians,Terrestrial and freshwater,vertebrates,7807,Range maps,amphibians,Bioregions_rangemaps,#AE017E,IUCN v2024-1,GBIF,Downloaded on 21/08/2024
Birds,Terrestrial and freshwater,vertebrates,10798,Range maps,birds,Bioregions_rangemaps,#7A0177,Birdlife International,GBIF,Downloaded on 06/12/2023
Freshwater fish,Terrestrial and freshwater,vertebrates,13519,Range maps,freshwater_fish,Bioregions_rangemaps,#440154FF,IUCN v2024-1,GBIF,Downloaded on 01/08/2024
Mammals,Terrestrial and freshwater,vertebrates,6238,Range maps,mammals,Bioregions_rangemaps,#472D7BFF,MDD v1.2,GBIF,
Reptiles,Terrestrial and freshwater,vertebrates,10914,Range maps,reptiles,Bioregions_rangemaps,#253494,GARD v1.7,GBIF,
Ants,Terrestrial and freshwater,invertebrates,12892,Range maps,ants,Bioregions_rangemaps,#FEC287FF,Kass et al (2022),GBIF,
Bees,Terrestrial and freshwater,invertebrates,20555,Checklist,bees,Bioregions_checklists,#FDE725FF,John Ascher,GBIF,
Butterflies,Terrestrial and freshwater,invertebrates,19389,Checklist,butterflies,Bioregions_checklists_noJapan,#FFC95F,David Lohman,GBIF,
Caddisflies,Terrestrial and freshwater,invertebrates,16516,Checklist,trichoptera,Bioregions_checklists,#FDB515,Trichoptera world checklist,GBIF,
Centipedes,Terrestrial and freshwater,invertebrates,3340,Checklist,chilopods,Bioregions_checklists_noPalawan,#FC9313,ChiloBase 2.0,GBIF,
Flies,Terrestrial and freshwater,invertebrates,169674,Checklist,diptera,Bioregions_checklists,#C4820E,Systema Dipterorum,GBIF,
Freshwater crabs,Terrestrial and freshwater,invertebrates,1764,Checklist,freshwater_crabs,Bioregions_checklists,#D9661F,Tan Zhi Wan,GBIF,
Millipedes,Terrestrial and freshwater,invertebrates,12287,Checklist,diplopods,Bioregions_checklists_noChinaJapan,#DC4502,Millibase,GBIF,
Mirid bugs,Terrestrial and freshwater,invertebrates,11132,Checklist,miridae,Bioregions_checklists,#B30000,Planetary Biodiversity Inventory for Plant Bugs,GBIF,
Spiders,Terrestrial and freshwater,invertebrates,51528,Checklist,spiders,Bioregions_checklists_noChinaJapan,#7F0000,World Spider Catalog,GBIF,
Stick and leaf insects,Terrestrial and freshwater,invertebrates,3370,Checklist,phasmids,Bioregions_checklists_noChinaJapan,#6C3302,Phasmida Species File,GBIF,
Bony fish,Marine,,8156,Range maps,bony_fish,MEOW,#003262,IUCN v2024-2,OBIS,Downloaded on 18/11/2024
Reef corals,Marine,,903,Range maps,corals,MEOW,#3B7EA1,IUCN v2024-2,OBIS,Downloaded on 18/11/2024
Sharks and rays,Marine,,1180,Range maps,sharks,MEOW,#00B0DA,IUCN v2024-2,OBIS,Downloaded on 18/11/2024
Sponges,Marine,,8731,Occurrence points,sponges,MEOW,#00A598,OBIS,OBIS,Archived on 23/07/2024
